parameter_group,parameter,unit,temperature_C,value,evidence_class,reference_code,calculation_method,note
disintegration_hydrolysis,k_dis,d^-1,10,0.06,literature_multiplier,L18; BASE35,L18 10 C multiplier x 35 C baseline,
disintegration_hydrolysis,k_dis,d^-1,15,0.07,literature_multiplier,L18; BASE35,L18 15 C multiplier x 35 C baseline,
disintegration_hydrolysis,k_dis,d^-1,20,0.145,literature_multiplier,L18; BASE35,L18 20 C multiplier x 35 C baseline,
disintegration_hydrolysis,k_dis,d^-1,25,0.24,literature_multiplier,B15; BASE35,B15 25 C multiplier x 35 C baseline,
disintegration_hydrolysis,k_dis,d^-1,30,0.37,literature_multiplier,B15; BASE35,B15 30 C multiplier x 35 C baseline,
disintegration_hydrolysis,k_dis,d^-1,35,0.5,baseline_value,BASE35,35 C model baseline,
disintegration_hydrolysis,k_dis,d^-1,40,0.595,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_dis,d^-1,45,0.707,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_dis,d^-1,50,0.841,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_dis,d^-1,55,1,literature_parameter_anchor,IWA02,55 C thermophilic anchor,Assumes a thermophilic microbial community acclimated to the operating temperature.
disintegration_hydrolysis,k_dis,d^-1,60,1,held_constant_assumption,IWA02; MODEL,55 C thermophilic value held through 60 C,A conservative plateau assumption; not a directly fitted 60 C ADM1 parameter.
disintegration_hydrolysis,k_dis,d^-1,65,0.8,stress_scenario_prior,A01; K22; MODEL,reaction-specific multiplier applied to the 55/60 C value,65 C multiplier = 0.80 relative to 55/60 C.
disintegration_hydrolysis,k_hyd_ch,d^-1,10,1.2,literature_multiplier,L18; BASE35,L18 10 C multiplier x 35 C baseline,
disintegration_hydrolysis,k_hyd_ch,d^-1,15,1.4,literature_multiplier,L18; BASE35,L18 15 C multiplier x 35 C baseline,
disintegration_hydrolysis,k_hyd_ch,d^-1,20,2.9,literature_multiplier,L18; BASE35,L18 20 C multiplier x 35 C baseline,
disintegration_hydrolysis,k_hyd_ch,d^-1,25,4.8,literature_multiplier,B15; BASE35,B15 25 C multiplier x 35 C baseline,
disintegration_hydrolysis,k_hyd_ch,d^-1,30,7.4,literature_multiplier,B15; BASE35,B15 30 C multiplier x 35 C baseline,
disintegration_hydrolysis,k_hyd_ch,d^-1,35,10,baseline_value,BASE35,35 C model baseline,
disintegration_hydrolysis,k_hyd_ch,d^-1,40,10,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_hyd_ch,d^-1,45,10,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_hyd_ch,d^-1,50,10,geometric_interpolation,IWA02; BASE35; MODEL,"k(T)=k35*(k55/k35)^((T-35)/20), rounded to the listed precision",Transition-region interpolation; it does not explicitly model microbial acclimation.
disintegration_hydrolysis,k_hyd_ch,d^-1,55,10,literature_parameter_anchor,IWA02,55 C thermophilic anchor,Assumes a thermophilic microbial community acclimated to the operating temperature.
disintegration_hydrolysis,k_hyd_ch,d^-1,60,10,held_constant_assumption,IWA02; MODEL,55 C thermophilic value held through 60 C,A conservative plateau assumption; not a directly fitted 60 C ADM1 parameter.
disintegration_hydrolysis,k_hyd_ch,d^-1,65,8,stress_scenario_prior,A01; K22; MODEL,reaction-specific multiplier applied to the 55/60 C value,65 C multiplier = 0.80 relative to 55/60 C.
disintegration_hydrolysis,k_hyd_pr,d^-1,10,1.2,literature_multiplier,L18; BASE35,L18 10 C multiplier x 35 C baseline,The carbohydrate-hydrolysis temperature multiplier is used as a proxy.
disintegration_hydrolysis,k_hyd_pr,d^-1,15,1.4,literature_multiplier,L18; BASE35,L18 15 C multiplier x 35 C baseline,The carbohydrate-hydrolysis temperature multiplier is used as a proxy.
disintegration_hydrolysis,k_hyd_pr,d^-1,20,2.9,literature_multiplier,L18; BASE35,L18 20 C multiplier x 35 C baseline,The carbohydrate-hydrolysis temperature multiplier is used as a proxy.
